State,Prescriber_Education,Day_Supply_Limitation_II,Multiple_Prescriptions,Refill_Restrictions,Day_Supply_Limitation_III,Emergency_Refils_III,Regulate_Pain_Facilities,Written_Informed_Cosent,Fax_Prescriptions,Physical_Information,Specialist_Referral,Written_Treatment_Plan,Expiration_Prescriptions
AA,0,0,0,0,0,0,0,1,1,1,1,1,1
AE,0,0,0,0,0,0,0,1,1,1,1,1,1
AK,0,0,0,0,0,0,0,0,0,0,1,1,0
AL,1,0,0,0,0,1,1,1,1,1,1,1,0
AP,0,0,0,0,0,0,0,1,1,1,1,1,1
AR,0,0,0,0,0,0,0,0,1,0,0,1,1
AS,0,0,0,0,0,0,0,1,1,1,1,1,1
AZ,1,0,0,0,0,0,0,1,1,1,1,1,1
CA,1,0,0,1,0,1,0,0,0,1,1,1,1
CO,0,0,0,0,0,1,0,1,1,1,1,0,1
CT,1,0,0,0,0,0,0,1,1,1,1,1,0
DC,1,0,1,0,0,0,0,1,1,1,1,1,1
DE,0,1,0,0,1,0,0,1,0,1,1,1,1
FL,1,0,0,0,1,1,1,1,0,1,1,1,0
GA,1,0,0,0,0,0,1,1,1,1,1,0,0
GU,0,0,0,0,0,0,0,1,1,1,1,1,1
HI,0,0,0,1,0,0,0,1,1,1,1,1,1
IA,1,0,1,0,0,0,0,1,1,1,1,1,0
ID,1,0,1,0,0,0,0,1,1,1,1,1,0
IL,0,1,1,0,0,0,0,0,1,0,0,0,1
IN,0,0,0,0,0,0,0,1,1,1,1,1,0
KS,0,0,0,1,0,1,0,1,0,0,1,1,1
KY,1,0,0,0,0,0,1,1,1,1,1,1,1
LA,0,0,1,0,0,1,1,0,1,1,1,1,1
MA,1,1,0,0,1,0,0,0,0,0,0,0,1
MD,0,0,0,0,0,0,0,0,1,0,0,0,1
ME,0,0,0,0,0,0,0,1,1,1,1,1,1
MI,1,0,0,0,0,0,0,1,0,1,1,1,1
MN,0,0,0,0,0,0,0,0,0,0,0,0,1
MO,0,1,0,0,1,0,0,0,1,0,0,0,1
MP,0,0,0,0,0,0,0,1,1,1,1,1,1
MS,1,0,1,0,0,0,1,1,1,0,1,1,1
MT,0,0,0,0,0,1,0,0,0,0,0,0,0
NC,1,0,0,0,0,1,0,1,1,0,1,1,1
ND,0,0,0,0,0,0,0,0,0,1,0,0,1
NE,0,0,0,0,0,0,0,0,1,0,0,0,1
NH,0,1,0,0,1,0,0,1,1,1,1,1,1
NJ,0,1,1,0,0,1,0,0,1,0,1,1,1
NM,1,0,0,0,1,0,0,1,1,1,1,1,0
NV,1,0,0,0,0,1,0,1,1,1,1,1,0
NY,0,0,1,1,1,0,0,0,1,0,0,0,1
OH,1,0,0,0,0,1,1,0,1,1,1,1,0
OK,0,0,0,1,0,0,0,1,1,1,1,1,1
OR,1,0,0,0,0,1,0,0,0,0,0,0,0
PA,1,0,0,0,0,0,0,1,1,1,1,0,1
PR,0,0,0,0,0,0,0,1,1,1,1,1,1
RI,0,1,1,0,1,1,0,0,1,0,1,1,1
SC,1,1,0,0,0,0,0,1,1,1,1,1,1
SD,0,0,0,0,0,0,0,0,1,0,0,0,0
TN,1,1,0,0,0,0,1,1,0,1,1,1,0
TX,0,0,1,0,0,1,1,1,1,1,1,1,0
UT,1,1,1,0,0,1,0,1,0,1,1,1,1
VA,0,0,0,0,0,0,0,1,1,1,1,1,1
VI,0,0,0,0,0,0,0,1,1,1,1,1,1
VT,1,0,1,0,0,0,0,1,1,1,1,1,1
WA,0,0,0,0,0,0,0,1,1,1,1,1,1
WI,0,0,0,0,0,0,0,0,1,0,0,0,1
WV,1,0,1,0,0,1,1,1,1,1,1,1,1
WY,0,0,1,0,0,0,0,1,1,1,1,1,1
XX,0,0,0,0,0,0,0,1,1,1,1,1,1
ZZ,0,0,0,0,0,0,0,1,1,1,1,1,1
